10,4875,0.045
20,85500,0.041
30,445875,0.046
40,1430000,0.05
50,3521875,0.052
60,7345500,0.062
70,13664875,0.08
80,23384000,0.072
90,37546875,0.086
100,57337500,0.101
200,925350000,0.725
300,4698037500,1.14
400,14869400000,1.743
500,36333437500,2.357
600,75384150000,3.442
700,1.39716E+11,4.556
800,2.38422E+11,5.9
900,3.81996E+11,7.438
1000,5.82334E+11,8.919
1500,2.94975E+12,21.814
2000,9.32534E+12,38.032
2500,2.27708E+13,59.825
3000,4.7223E+13,87.495
3500,8.74936E+13,117.9971
4000,1.49269E+14,156.437
4500,2.39112E+14,201.19
5000,3.64458E+14,255.836
7500,1.84528E+15,528.144
10000,5.83233E+15,955.291
